epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.34488,0.79338,2.68629,1.18603,0.00682,0.65009,0.42196,0.34771,0.60978,2.79888,0.98538,0.00026672,0.00026672,0.00026672
2,4.55574,0.74854,1.44525,1.08457,0.87606,0.22864,0.36797,0.25938,0.80391,2.57628,1.09901,0.00052288,0.00052288,0.00052288
3,6.61525,0.78982,1.21806,1.11792,0.87427,0.37671,0.656,0.47946,0.83938,2.10226,1.20945,0.000750984,0.000750984,0.000750984
4,8.73012,0.77068,1.1587,1.12012,0.9435,0.35616,0.83862,0.63461,0.76068,2.18972,1.23692,0.000951032,0.000951032,0.000951032
5,10.8449,0.77745,1.09588,1.10609,0.69382,0.7188,0.86015,0.62804,0.86023,1.61599,1.30972,0.00112302,0.00112302,0.00112302
6,12.8195,0.77448,1.08289,1.09856,0.8221,0.78832,0.87277,0.62891,0.9086,1.38514,1.30938,0.00125442,0.00125442,0.00125442
7,14.8006,0.7381,1.01698,1.09167,0.92892,0.79934,0.88332,0.65966,0.90787,1.19252,1.33156,0.0011719,0.0011719,0.0011719
8,16.8458,0.78004,1.08643,1.12433,0.92135,0.7942,0.88487,0.66439,0.96939,1.10568,1.2682,0.00108938,0.00108938,0.00108938
9,18.9561,0.70706,0.96432,1.0633,0.88695,0.79575,0.90237,0.66617,0.81038,0.99896,1.16638,0.00100687,0.00100687,0.00100687
10,21.0393,0.70155,0.95969,1.0697,0.89107,0.8401,0.90411,0.6737,0.77638,1.00786,1.14747,0.000924352,0.000924352,0.000924352
11,48.2041,0.65557,1.08938,0.99346,0.91187,0.81495,0.85932,0.66009,0.78991,0.99103,1.17221,0.000841835,0.000841835,0.000841835
12,50.1774,0.63072,1.02116,1.02139,0.93648,0.78712,0.87485,0.68253,0.78228,0.90203,1.11118,0.000759318,0.000759318,0.000759318
13,52.2293,0.62476,0.9916,0.98006,0.92554,0.8501,0.91807,0.7384,0.69766,0.83971,1.03779,0.000676802,0.000676802,0.000676802
14,54.2804,0.58497,0.93175,0.97033,0.90908,0.86658,0.92944,0.75798,0.6387,0.82908,1.04238,0.000594286,0.000594286,0.000594286
15,56.9195,0.59731,0.87856,0.98725,0.95178,0.84983,0.92165,0.75302,0.63909,0.79901,1.03456,0.000511769,0.000511769,0.000511769
16,58.9142,0.55828,0.88447,0.96763,0.92849,0.8692,0.92174,0.76079,0.61096,0.75345,1.00834,0.000429253,0.000429253,0.000429253
17,60.9693,0.55385,0.85,0.94488,0.94819,0.85104,0.92831,0.77109,0.60092,0.7136,1.00568,0.000346736,0.000346736,0.000346736
18,63.0153,0.53107,0.83459,0.93,0.94248,0.87734,0.93433,0.7739,0.57932,0.67854,0.99723,0.00026422,0.00026422,0.00026422
19,65.051,0.49806,0.79984,0.93351,0.97299,0.84376,0.93622,0.77502,0.59023,0.67083,0.98512,0.000181703,0.000181703,0.000181703
20,67.0978,0.50036,0.77934,0.93457,0.91897,0.8969,0.94239,0.78159,0.57357,0.66761,0.97739,9.91865e-05,9.91865e-05,9.91865e-05
